"TiffName","Sample","SampleName"
"TMA_2022_PDAC1_rev_s0_a18_ac_full.tiff","PDAC1_Sector2Row1Column6_Punch1_Case30_ID_1_56588","TMA_2022_PDAC1_rev_18"
"TMA_2022_PDAC1_rev_s0_a19_ac_full.tiff","PDAC1_Sector1Row4Column6_Punch1_Case22_ID_1_4623","TMA_2022_PDAC1_rev_19"
"TMA_2022_PDAC1_rev_s0_a20_ac_full.tiff","PDAC1_Sector4Row1Column7_Punch1_Case94_ID_G_31065","TMA_2022_PDAC1_rev_20"
"TMA_2022_PDAC1_rev_s0_a21_ac_full.tiff","PDAC1_Sector4Row3Column5_Punch1_Case107_ID_GSDM_1001","TMA_2022_PDAC1_rev_21"
"TMA_2022_PDAC1_rev_s0_a22_ac_full.tiff","PDAC1_Sector1Row3Column8_Punch1_Case16_ID_1_42221","TMA_2022_PDAC1_rev_22"
"TMA_2022_PDAC1_rev_s0_a23_ac_full.tiff","PDAC1_Sector3Row2Column6_Punch1_Case69_ID_1_96460","TMA_2022_PDAC1_rev_23"
"TMA_2022_PDAC1_rev_s0_a24_ac_full.tiff","PDAC1_Sector2Row2Column4_Punch1_Case36_ID_1_69515","TMA_2022_PDAC1_rev_24"
"TMA_2022_PDAC1_rev_s0_a25_ac_full.tiff","PDAC1_Sector2Row4Column2_Punch1_Case50_ID_1_76997","TMA_2022_PDAC1_rev_25"
"TMA_2022_PDAC1_rev_s0_a26_ac_full.tiff","PDAC1_Sector2Row2Column1_Punch1_Case33_ID_1_67113","TMA_2022_PDAC1_rev_26"
"TMA_2022_PDAC1_rev_s0_a27_ac_full.tiff","PDAC1_Sector3Row4Column1_Punch1_Case80_ID_G_21433","TMA_2022_PDAC1_rev_27"
"TMA_2022_PDAC1_rev_s0_a28_ac_full.tiff","PDAC1_Sector2Row1Column4_Punch1_Case28_ID_1_52582","TMA_2022_PDAC1_rev_28"
"TMA_2022_PDAC1_rev_s0_a29_ac_full.tiff","PDAC1_Sector2Row4Column1_Punch1_Case49_ID_1_76312","TMA_2022_PDAC1_rev_29"
"TMA_2022_PDAC1_rev_s0_a30_ac_full.tiff","PDAC1_Sector1Row3Column4_Punch1_Case12_ID_1_3924","TMA_2022_PDAC1_rev_30"
"TMA_2022_PDAC1_rev_s0_a31_ac_full.tiff","PDAC1_Sector2Row4Column6_Punch1_Case53_ID_1_85810","TMA_2022_PDAC1_rev_31"
"TMA_2022_PDAC1_rev_s0_a32_ac_full.tiff","PDAC1_Sector3Row4Column8_Punch1_Case87_ID_G_25852","TMA_2022_PDAC1_rev_32"
"TMA_2022_PDAC1_rev_s0_a34_ac_full.tiff","PDAC1_Sector4Row1Column3_Punch1_Case90_ID_G_26691","TMA_2022_PDAC1_rev_34"
"TMA_2022_PDAC1_rev_s0_a35_ac_full.tiff","PDAC1_Sector3Row3Column5_Punch1_Case76_ID_G_13634","TMA_2022_PDAC1_rev_35"
"TMA_2022_PDAC1_rev_s0_a36_ac_full.tiff","PDAC1_Sector2Row3Column7_Punch1_Case47_ID_1_72749","TMA_2022_PDAC1_rev_36"
"TMA_2022_PDAC1_rev_s0_a37_ac_full.tiff","PDAC1_Sector2Row4Column4_Punch1_Case51_ID_1_85268","TMA_2022_PDAC1_rev_37"
"TMA_2022_PDAC1_rev_s0_a38_ac_full.tiff","PDAC1_Sector1Row2Column6_Punch1_Case6_ID_1_106476","TMA_2022_PDAC1_rev_38"
"TMA_2022_PDAC1_rev_s0_a39_ac_full.tiff","PDAC1_Sector1Row3Column7_Punch1_Case15_ID_1_41902","TMA_2022_PDAC1_rev_39"
"TMA_2022_PDAC1_rev_s0_a40_ac_full.tiff","PDAC1_Sector4Row2Column6_Punch1_Case101_ID_G_7439","TMA_2022_PDAC1_rev_40"
"TMA_2022_PDAC1_rev_s0_a41_ac_full.tiff","PDAC1_Sector3Row1Column4_Punch1_Case59_ID_1_92145","TMA_2022_PDAC1_rev_41"
"TMA_2022_PDAC1_rev_s0_a42_ac_full.tiff","PDAC1_Sector1Row2Column3_Punch1_Case3_ID_1_103356","TMA_2022_PDAC1_rev_42"
"TMA_2022_PDAC1_rev_s0_a43_ac_full.tiff","PDAC1_Sector4Row1Column2_Punch1_Case89_ID_G_26400","TMA_2022_PDAC1_rev_43"
"TMA_2022_PDAC1_rev_s0_a44_ac_full.tiff","PDAC1_Sector2Row3Column8_Punch1_Case48_ID_1_73579","TMA_2022_PDAC1_rev_44"
"TMA_2022_PDAC1_rev_s0_a45_ac_full.tiff","PDAC1_Sector2Row3Column5_Punch1_Case45_ID_1_71273","TMA_2022_PDAC1_rev_45"
"TMA_2022_PDAC1_rev_s0_a46_ac_full.tiff","PDAC1_Sector1Row3Column2_Punch1_Case10_ID_1_35154","TMA_2022_PDAC1_rev_46"
"TMA_2022_PDAC1_rev_s0_a47_ac_full.tiff","PDAC1_Sector2Row3Column2_Punch1_Case42_ID_1_70477","TMA_2022_PDAC1_rev_47"
"TMA_2022_PDAC1_rev_s0_a48_ac_full.tiff","PDAC1_Sector1Row4Column8_Punch1_Case24_ID_1_48081","TMA_2022_PDAC1_rev_48"
"TMA_2022_PDAC1_rev_s0_a49_ac_full.tiff","PDAC1_Sector1Row4Column2_Punch1_Case18_ID_1_44422","TMA_2022_PDAC1_rev_49"
"TMA_2022_PDAC1_rev_s0_a50_ac_full.tiff","PDAC1_Sector4Row1Column8_Punch1_Case95_ID_G_31568","TMA_2022_PDAC1_rev_50"
"TMA_2022_PDAC1_rev_s0_a51_ac_full.tiff","PDAC1_Sector1Row3Column1_Punch1_Case9_ID_1_3430","TMA_2022_PDAC1_rev_51"
"TMA_2022_PDAC1_rev_s0_a52_ac_full.tiff","PDAC1_Sector3Row4Column5_Punch1_Case84_ID_G_25487","TMA_2022_PDAC1_rev_52"
"TMA_2022_PDAC1_rev_s0_a54_ac_full.tiff","PDAC1_Sector2Row3Column4_Punch1_Case44_ID_1_70971","TMA_2022_PDAC1_rev_54"
"TMA_2022_PDAC1_rev_s0_a55_ac_full.tiff","PDAC1_Sector4Row3Column7_Punch1_Case109_ID_GSDM_1025","TMA_2022_PDAC1_rev_55"
"TMA_2022_PDAC1_rev_s0_a56_ac_full.tiff","PDAC1_Sector4Row3Column4_Punch1_Case106_ID_G_9725","TMA_2022_PDAC1_rev_56"
"TMA_2022_PDAC1_rev_s0_a57_ac_full.tiff","Liver1_Sector1Row1Column1_SlideMiddle","TMA_2022_PDAC1_rev_57"
"TMA_2022_PDAC1_rev_s0_a58_ac_full.tiff","Liver1_Sector1Row1Column2_SlideMiddle","TMA_2022_PDAC1_rev_58"
"TMA_2022_PDAC1_rev_s0_a59_ac_full.tiff","Kidney1_Sector4Row4Column1_SlideMiddle","TMA_2022_PDAC1_rev_59"
"TMA_2022_PDAC1_rev_s0_a60_ac_full.tiff","Kidney1_Sector4Row4Column2_SlideMiddle","TMA_2022_PDAC1_rev_60"
"TMA_2022_PDAC1_rev_s0_a61_ac_full.tiff","PDAC1_Sector1Row2Column5_Punch1_Case5_ID_1_104192","TMA_2022_PDAC1_rev_61"
"TMA_2022_PDAC1_rev_s0_a62_ac_full.tiff","PDAC1_Sector2Row1Column5_Punch1_Case29_ID_1_54342","TMA_2022_PDAC1_rev_62"
"TMA_2022_PDAC1_rev_s0_a63_ac_full.tiff","PDAC1_Sector3Row2Column2_Punch1_Case65_ID_1_94889","TMA_2022_PDAC1_rev_63"
"TMA_2022_PDAC1_rev_s0_a64_ac_full.tiff","PDAC1_Sector4Row2Column5_Punch1_Case100_ID_G_6686","TMA_2022_PDAC1_rev_64"
"TMA_2022_PDAC1_rev_s0_a65_ac_full.tiff","PDAC1_Sector4Row1Column5_Punch1_Case92_ID_G_30057","TMA_2022_PDAC1_rev_65"
"TMA_2022_PDAC1_rev_s0_a66_ac_full.tiff","PDAC1_Sector2Row1Column2_Punch1_Case26_ID_1_5102","TMA_2022_PDAC1_rev_66"
"TMA_2022_PDAC1_rev_s0_a67_ac_full.tiff","PDAC1_Sector3Row2Column1_Punch1_Case64_ID_1_93724","TMA_2022_PDAC1_rev_67"
"TMA_2022_PDAC1_rev_s0_a68_ac_full.tiff","PDAC1_Sector3Row1Column7_Punch1_Case62_ID_1_93395","TMA_2022_PDAC1_rev_68"
"TMA_2022_PDAC1_rev_s0_a69_ac_full.tiff","PDAC1_Sector2Row4Column8_Punch1_Case55_ID_1_89880","TMA_2022_PDAC1_rev_69"
"TMA_2022_PDAC1_rev_s0_a70_ac_full.tiff","PDAC1_Sector2Row1Column8_Punch1_Case32_ID_1_66124","TMA_2022_PDAC1_rev_70"
"TMA_2022_PDAC1_rev_s0_a71_ac_full.tiff","PDAC1_Sector3Row4Column6_Punch1_Case85_ID_G_25488","TMA_2022_PDAC1_rev_71"
"TMA_2022_PDAC1_rev_s0_a72_ac_full.tiff","PDAC1_Sector3Row3Column4_Punch1_Case75_ID_G_12907","TMA_2022_PDAC1_rev_72"
"TMA_2022_PDAC1_rev_s0_a73_ac_full.tiff","PDAC1_Sector2Row1Column3_Punch1_Case27_ID_1_5121","TMA_2022_PDAC1_rev_73"
"TMA_2022_PDAC1_rev_s0_a74_ac_full.tiff","PDAC1_Sector3Row4Column7_Punch1_Case86_ID_G_25536","TMA_2022_PDAC1_rev_74"
"TMA_2022_PDAC1_rev_s0_a75_ac_full.tiff","PDAC1_Sector2Row3Column6_Punch1_Case46_ID_1_71998","TMA_2022_PDAC1_rev_75"
"TMA_2022_PDAC1_rev_s0_a76_ac_full.tiff","PDAC1_Sector4Row2Column2_Punch1_Case97_ID_G_32657","TMA_2022_PDAC1_rev_76"
"TMA_2022_PDAC1_rev_s0_a77_ac_full.tiff","PDAC1_Sector1Row2Column4_Punch1_Case4_ID_1_104134","TMA_2022_PDAC1_rev_77"
"TMA_2022_PDAC1_rev_s0_a78_ac_full.tiff","PDAC1_Sector3Row2Column4_Punch1_Case67_ID_1_96213","TMA_2022_PDAC1_rev_78"
"TMA_2022_PDAC1_rev_s0_a79_ac_full.tiff","PDAC1_Sector3Row4Column4_Punch1_Case83_ID_G_25407","TMA_2022_PDAC1_rev_79"
"TMA_2022_PDAC1_rev_s0_a80_ac_full.tiff","PDAC1_Sector3Row3Column2_Punch1_Case73_ID_G_11310","TMA_2022_PDAC1_rev_80"
"TMA_2022_PDAC1_rev_s0_a81_ac_full.tiff","PDAC1_Sector3Row1Column1_Punch1_Case56_ID_1_90015","TMA_2022_PDAC1_rev_81"
"TMA_2022_PDAC1_rev_s0_a82_ac_full.tiff","PDAC1_Sector4Row1Column4_Punch1_Case91_ID_G_26810","TMA_2022_PDAC1_rev_82"
"TMA_2022_PDAC1_rev_s0_a83_ac_full.tiff","PDAC1_Sector2Row3Column3_Punch1_Case43_ID_1_70640","TMA_2022_PDAC1_rev_83"
"TMA_2022_PDAC1_rev_s0_a84_ac_full.tiff","PDAC1_Sector2Row4Column7_Punch1_Case54_ID_1_87248","TMA_2022_PDAC1_rev_84"
"TMA_2022_PDAC1_rev_s0_a85_ac_full.tiff","PDAC1_Sector2Row1Column1_Punch1_Case25_ID_1_48194","TMA_2022_PDAC1_rev_85"
"TMA_2022_PDAC1_rev_s0_a86_ac_full.tiff","PDAC1_Sector2Row2Column2_Punch1_Case34_ID_1_67299","TMA_2022_PDAC1_rev_86"
"TMA_2022_PDAC1_rev_s0_a87_ac_full.tiff","PDAC1_Sector3Row2Column5_Punch1_Case68_ID_1_96217","TMA_2022_PDAC1_rev_87"
"TMA_2022_PDAC1_rev_s0_a88_ac_full.tiff","PDAC1_Sector4Row1Column1_Punch1_Case88_ID_G_26345","TMA_2022_PDAC1_rev_88"
"TMA_2022_PDAC1_rev_s0_a89_ac_full.tiff","PDAC1_Sector1Row4Column4_Punch1_Case20_ID_1_4567","TMA_2022_PDAC1_rev_89"
"TMA_2022_PDAC1_rev_s0_a90_ac_full.tiff","PDAC1_Sector4Row2Column1_Punch1_Case96_ID_G_32052","TMA_2022_PDAC1_rev_90"
"TMA_2022_PDAC1_rev_s0_a91_ac_full.tiff","PDAC1_Sector1Row4Column5_Punch1_Case21_ID_1_4568","TMA_2022_PDAC1_rev_91"
"TMA_2022_PDAC1_rev_s0_a92_ac_full.tiff","PDAC1_Sector1Row4Column1_Punch1_Case17_ID_1_43125","TMA_2022_PDAC1_rev_92"
"TMA_2022_PDAC1_rev_s0_a94_ac_full.tiff","PDAC1_Sector1Row2Column7_Punch1_Case7_ID_1_109753","TMA_2022_PDAC1_rev_94"
"TMA_2022_PDAC1_rev_s0_a95_ac_full.tiff","PDAC1_Sector4Row2Column3_Punch1_Case98_ID_G_41574","TMA_2022_PDAC1_rev_95"
"TMA_2022_PDAC1_rev_s0_a96_ac_full.tiff","PDAC1_Sector3Row1Column3_Punch1_Case58_ID_1_91691","TMA_2022_PDAC1_rev_96"
"TMA_2022_PDAC1_rev_s0_a97_ac_full.tiff","PDAC1_Sector1Row3Column6_Punch1_Case14_ID_1_4045","TMA_2022_PDAC1_rev_97"
"TMA_2022_PDAC1_rev_s0_a98_ac_full.tiff","PDAC1_Sector4Row3Column3_Punch1_Case105_ID_G_9208","TMA_2022_PDAC1_rev_98"
"TMA_2022_PDAC1_rev_s0_a99_ac_full.tiff","PDAC1_Sector2Row2Column8_Punch1_Case40_ID_1_70237","TMA_2022_PDAC1_rev_99"
"TMA_2022_PDAC1_rev_s0_a100_ac_full.tiff","PDAC1_Sector4Row1Column6_Punch1_Case93_ID_G_30952","TMA_2022_PDAC1_rev_100"
"TMA_2022_PDAC1_rev_s0_a101_ac_full.tiff","PDAC1_Sector3Row1Column5_Punch1_Case60_ID_1_92458","TMA_2022_PDAC1_rev_101"
"TMA_2022_PDAC1_rev_s0_a102_ac_full.tiff","PDAC1_Sector1Row4Column7_Punch1_Case23_ID_1_4752","TMA_2022_PDAC1_rev_102"
"TMA_2022_PDAC1_rev_s0_a103_ac_full.tiff","PDAC1_Sector3Row3Column1_Punch1_Case72_ID_G_11291","TMA_2022_PDAC1_rev_103"
"TMA_2022_PDAC1_rev_s0_a104_ac_full.tiff","PDAC1_Sector3Row2Column7_Punch1_Case70_ID_1_99593","TMA_2022_PDAC1_rev_104"
"TMA_2022_PDAC1_rev_s0_a105_ac_full.tiff","PDAC1_Sector3Row2Column8_Punch1_Case71_ID_G_10196","TMA_2022_PDAC1_rev_105"
"TMA_2022_PDAC1_rev_s0_a106_ac_full.tiff","PDAC1_Sector2Row4Column5_Punch1_Case52_ID_1_85532","TMA_2022_PDAC1_rev_106"
"TMA_2022_PDAC1_rev_s0_a107_ac_full.tiff","PDAC1_Sector3Row3Column7_Punch1_Case78_ID_G_14742","TMA_2022_PDAC1_rev_107"
"TMA_2022_PDAC1_rev_s0_a108_ac_full.tiff","PDAC1_Sector3Row1Column2_Punch1_Case57_ID_1_91050","TMA_2022_PDAC1_rev_108"
"TMA_2022_PDAC1_rev_s0_a109_ac_full.tiff","PDAC1_Sector4Row3Column6_Punch1_Case108_ID_GSDM_1018","TMA_2022_PDAC1_rev_109"
"TMA_2022_PDAC1_rev_s0_a110_ac_full.tiff","PDAC1_Sector3Row3Column8_Punch1_Case79_ID_G_17185","TMA_2022_PDAC1_rev_110"
"TMA_2022_PDAC1_rev_s0_a111_ac_full.tiff","PDAC1_Sector3Row1Column6_Punch1_Case61_ID_1_92541","TMA_2022_PDAC1_rev_111"
"TMA_2022_PDAC1_rev_s0_a112_ac_full.tiff","PDAC1_Sector4Row2Column8_Punch1_Case102_ID_G_8288","TMA_2022_PDAC1_rev_112"
"TMA_2022_PDAC1_rev_s0_a113_ac_full.tiff","PDAC1_Sector1Row2Column1_Punch1_Case1_ID_1_100070","TMA_2022_PDAC1_rev_113"
"TMA_2022_PDAC1_rev_s0_a114_ac_full.tiff","PDAC1_Sector2Row2Column5_Punch1_Case37_ID_1_69553","TMA_2022_PDAC1_rev_114"
"TMA_2022_PDAC1_rev_s0_a115_ac_full.tiff","PDAC1_Sector2Row2Column3_Punch1_Case35_ID_1_67731","TMA_2022_PDAC1_rev_115"
"TMA_2022_PDAC1_rev_s0_a116_ac_full.tiff","PDAC1_Sector4Row2Column4_Punch1_Case99_ID_G_6653","TMA_2022_PDAC1_rev_116"
"TMA_2022_PDAC1_rev_s0_a117_ac_full.tiff","PDAC1_Sector4Row3Column2_Punch1_Case104_ID_G_8978","TMA_2022_PDAC1_rev_117"
"TMA_2022_PDAC1_rev_s0_a118_ac_full.tiff","PDAC1_Sector2Row2Column6_Punch1_Case38_ID_1_69785","TMA_2022_PDAC1_rev_118"
"TMA_2022_PDAC1_rev_s0_a119_ac_full.tiff","Liver1_Sector1Row1Column1_SlideEnd","TMA_2022_PDAC1_rev_119"
"TMA_2022_PDAC1_rev_s0_a120_ac_full.tiff","Liver1_Sector1Row1Column2_SlideEnd","TMA_2022_PDAC1_rev_120"
"TMA_2022_PDAC1_rev_s0_a121_ac_full.tiff","Kidney1_Sector4Row4Column1_SlideEnd","TMA_2022_PDAC1_rev_121"
"TMA_2022_PDAC1_rev_s0_a122_ac_full.tiff","Kidney1_Sector4Row4Column2_SlideEnd","TMA_2022_PDAC1_rev_122"
"TMA_2022_PDAC1_rev_s0_a123_ac_full.tiff","PDAC1_Sector4Row2Column8_Punch1_Case102_ID_G_8288 - split","TMA_2022_PDAC1_rev_123"
"TMA_2022_PDAC1_rev_s0_a1_ac_full.tiff","Liver1_Sector1Row1Column1_SlideStart","TMA_2022_PDAC1_rev_1"
"TMA_2022_PDAC1_rev_s0_a2_ac_full.tiff","Liver1_Sector1Row1Column2_SlideStart","TMA_2022_PDAC1_rev_2"
"TMA_2022_PDAC1_rev_s0_a3_ac_full.tiff","Kidney1_Sector4Row4Column1_SlideStart","TMA_2022_PDAC1_rev_3"
"TMA_2022_PDAC1_rev_s0_a4_ac_full.tiff","Kidney1_Sector4Row4Column2_SlideStart","TMA_2022_PDAC1_rev_4"
"TMA_2022_PDAC1_rev_s0_a5_ac_full.tiff","PDAC1_Sector2Row3Column1_Punch1_Case41_ID_1_70327","TMA_2022_PDAC1_rev_5"
"TMA_2022_PDAC1_rev_s0_a6_ac_full.tiff","PDAC1_Sector1Row2Column8_Punch1_Case8_ID_1_112577","TMA_2022_PDAC1_rev_6"
"TMA_2022_PDAC1_rev_s0_a7_ac_full.tiff","PDAC1_Sector2Row2Column7_Punch1_Case39_ID_1_69943","TMA_2022_PDAC1_rev_7"
"TMA_2022_PDAC1_rev_s0_a8_ac_full.tiff","PDAC1_Sector3Row3Column3_Punch1_Case74_ID_G_11920","TMA_2022_PDAC1_rev_8"
"TMA_2022_PDAC1_rev_s0_a9_ac_full.tiff","PDAC1_Sector3Row4Column2_Punch1_Case81_ID_G_22428","TMA_2022_PDAC1_rev_9"
"TMA_2022_PDAC1_rev_s0_a10_ac_full.tiff","PDAC1_Sector3Row1Column8_Punch1_Case63_ID_1_93605","TMA_2022_PDAC1_rev_10"
"TMA_2022_PDAC1_rev_s0_a11_ac_full.tiff","PDAC1_Sector3Row4Column3_Punch1_Case82_ID_G_23381","TMA_2022_PDAC1_rev_11"
"TMA_2022_PDAC1_rev_s0_a12_ac_full.tiff","PDAC1_Sector1Row3Column3_Punch1_Case11_ID_1_3583","TMA_2022_PDAC1_rev_12"
"TMA_2022_PDAC1_rev_s0_a13_ac_full.tiff","PDAC1_Sector1Row2Column2_Punch1_Case2_ID_1_100217","TMA_2022_PDAC1_rev_13"
"TMA_2022_PDAC1_rev_s0_a14_ac_full.tiff","PDAC1_Sector1Row4Column3_Punch1_Case19_ID_1_45196","TMA_2022_PDAC1_rev_14"
"TMA_2022_PDAC1_rev_s0_a15_ac_full.tiff","PDAC1_Sector3Row3Column6_Punch1_Case77_ID_G_14553","TMA_2022_PDAC1_rev_15"
"TMA_2022_PDAC1_rev_s0_a16_ac_full.tiff","PDAC1_Sector1Row3Column5_Punch1_Case13_ID_1_40185","TMA_2022_PDAC1_rev_16"
"TMA_2022_PDAC1_rev_s0_a17_ac_full.tiff","PDAC1_Sector2Row1Column7_Punch1_Case31_ID_1_57450","TMA_2022_PDAC1_rev_17"
"TMA_2022_PDAC1_rev_s0_a18_ac_full.tiff","PDAC1_Sector2Row1Column6_Punch1_Case30_ID_1_56588","TMA_2022_PDAC1_rev_18"
"TMA_2022_PDAC1_rev_s0_a19_ac_full.tiff","PDAC1_Sector1Row4Column6_Punch1_Case22_ID_1_4623","TMA_2022_PDAC1_rev_19"
"TMA_2022_PDAC1_rev_s0_a20_ac_full.tiff","PDAC1_Sector4Row1Column7_Punch1_Case94_ID_G_31065","TMA_2022_PDAC1_rev_20"
"TMA_2022_PDAC1_rev_s0_a21_ac_full.tiff","PDAC1_Sector4Row3Column5_Punch1_Case107_ID_GSDM_1001","TMA_2022_PDAC1_rev_21"
"TMA_2022_PDAC1_rev_s0_a22_ac_full.tiff","PDAC1_Sector1Row3Column8_Punch1_Case16_ID_1_42221","TMA_2022_PDAC1_rev_22"
"TMA_2022_PDAC1_rev_s0_a23_ac_full.tiff","PDAC1_Sector3Row2Column6_Punch1_Case69_ID_1_96460","TMA_2022_PDAC1_rev_23"
"TMA_2022_PDAC1_rev_s0_a24_ac_full.tiff","PDAC1_Sector2Row2Column4_Punch1_Case36_ID_1_69515","TMA_2022_PDAC1_rev_24"
"TMA_2022_PDAC1_rev_s0_a25_ac_full.tiff","PDAC1_Sector2Row4Column2_Punch1_Case50_ID_1_76997","TMA_2022_PDAC1_rev_25"
"TMA_2022_PDAC1_rev_s0_a26_ac_full.tiff","PDAC1_Sector2Row2Column1_Punch1_Case33_ID_1_67113","TMA_2022_PDAC1_rev_26"
"TMA_2022_PDAC1_rev_s0_a27_ac_full.tiff","PDAC1_Sector3Row4Column1_Punch1_Case80_ID_G_21433","TMA_2022_PDAC1_rev_27"
"TMA_2022_PDAC1_rev_s0_a28_ac_full.tiff","PDAC1_Sector2Row1Column4_Punch1_Case28_ID_1_52582","TMA_2022_PDAC1_rev_28"
"TMA_2022_PDAC1_rev_s0_a29_ac_full.tiff","PDAC1_Sector2Row4Column1_Punch1_Case49_ID_1_76312","TMA_2022_PDAC1_rev_29"
"TMA_2022_PDAC1_rev_s0_a30_ac_full.tiff","PDAC1_Sector1Row3Column4_Punch1_Case12_ID_1_3924","TMA_2022_PDAC1_rev_30"
"TMA_2022_PDAC1_rev_s0_a31_ac_full.tiff","PDAC1_Sector2Row4Column6_Punch1_Case53_ID_1_85810","TMA_2022_PDAC1_rev_31"
"TMA_2022_PDAC1_rev_s0_a32_ac_full.tiff","PDAC1_Sector3Row4Column8_Punch1_Case87_ID_G_25852","TMA_2022_PDAC1_rev_32"
"TMA_2022_PDAC1_rev_s0_a34_ac_full.tiff","PDAC1_Sector4Row1Column3_Punch1_Case90_ID_G_26691","TMA_2022_PDAC1_rev_34"
"TMA_2022_PDAC1_rev_s0_a35_ac_full.tiff","PDAC1_Sector3Row3Column5_Punch1_Case76_ID_G_13634","TMA_2022_PDAC1_rev_35"
"TMA_2022_PDAC1_rev_s0_a36_ac_full.tiff","PDAC1_Sector2Row3Column7_Punch1_Case47_ID_1_72749","TMA_2022_PDAC1_rev_36"
"TMA_2022_PDAC1_rev_s0_a37_ac_full.tiff","PDAC1_Sector2Row4Column4_Punch1_Case51_ID_1_85268","TMA_2022_PDAC1_rev_37"
"TMA_2022_PDAC1_rev_s0_a38_ac_full.tiff","PDAC1_Sector1Row2Column6_Punch1_Case6_ID_1_106476","TMA_2022_PDAC1_rev_38"
"TMA_2022_PDAC1_rev_s0_a39_ac_full.tiff","PDAC1_Sector1Row3Column7_Punch1_Case15_ID_1_41902","TMA_2022_PDAC1_rev_39"
"TMA_2022_PDAC1_rev_s0_a40_ac_full.tiff","PDAC1_Sector4Row2Column6_Punch1_Case101_ID_G_7439","TMA_2022_PDAC1_rev_40"
"TMA_2022_PDAC1_rev_s0_a41_ac_full.tiff","PDAC1_Sector3Row1Column4_Punch1_Case59_ID_1_92145","TMA_2022_PDAC1_rev_41"
"TMA_2022_PDAC1_rev_s0_a42_ac_full.tiff","PDAC1_Sector1Row2Column3_Punch1_Case3_ID_1_103356","TMA_2022_PDAC1_rev_42"
"TMA_2022_PDAC1_rev_s0_a43_ac_full.tiff","PDAC1_Sector4Row1Column2_Punch1_Case89_ID_G_26400","TMA_2022_PDAC1_rev_43"
"TMA_2022_PDAC1_rev_s0_a44_ac_full.tiff","PDAC1_Sector2Row3Column8_Punch1_Case48_ID_1_73579","TMA_2022_PDAC1_rev_44"
"TMA_2022_PDAC1_rev_s0_a45_ac_full.tiff","PDAC1_Sector2Row3Column5_Punch1_Case45_ID_1_71273","TMA_2022_PDAC1_rev_45"
"TMA_2022_PDAC1_rev_s0_a46_ac_full.tiff","PDAC1_Sector1Row3Column2_Punch1_Case10_ID_1_35154","TMA_2022_PDAC1_rev_46"
"TMA_2022_PDAC1_rev_s0_a47_ac_full.tiff","PDAC1_Sector2Row3Column2_Punch1_Case42_ID_1_70477","TMA_2022_PDAC1_rev_47"
"TMA_2022_PDAC1_rev_s0_a48_ac_full.tiff","PDAC1_Sector1Row4Column8_Punch1_Case24_ID_1_48081","TMA_2022_PDAC1_rev_48"
"TMA_2022_PDAC1_rev_s0_a49_ac_full.tiff","PDAC1_Sector1Row4Column2_Punch1_Case18_ID_1_44422","TMA_2022_PDAC1_rev_49"
"TMA_2022_PDAC1_rev_s0_a50_ac_full.tiff","PDAC1_Sector4Row1Column8_Punch1_Case95_ID_G_31568","TMA_2022_PDAC1_rev_50"
"TMA_2022_PDAC1_rev_s0_a51_ac_full.tiff","PDAC1_Sector1Row3Column1_Punch1_Case9_ID_1_3430","TMA_2022_PDAC1_rev_51"
"TMA_2022_PDAC1_rev_s0_a52_ac_full.tiff","PDAC1_Sector3Row4Column5_Punch1_Case84_ID_G_25487","TMA_2022_PDAC1_rev_52"
"TMA_2022_PDAC1_rev_s0_a54_ac_full.tiff","PDAC1_Sector2Row3Column4_Punch1_Case44_ID_1_70971","TMA_2022_PDAC1_rev_54"
"TMA_2022_PDAC1_rev_s0_a55_ac_full.tiff","PDAC1_Sector4Row3Column7_Punch1_Case109_ID_GSDM_1025","TMA_2022_PDAC1_rev_55"
"TMA_2022_PDAC1_rev_s0_a56_ac_full.tiff","PDAC1_Sector4Row3Column4_Punch1_Case106_ID_G_9725","TMA_2022_PDAC1_rev_56"
"TMA_2022_PDAC1_rev_s0_a57_ac_full.tiff","Liver1_Sector1Row1Column1_SlideMiddle","TMA_2022_PDAC1_rev_57"
"TMA_2022_PDAC1_rev_s0_a58_ac_full.tiff","Liver1_Sector1Row1Column2_SlideMiddle","TMA_2022_PDAC1_rev_58"
"TMA_2022_PDAC1_rev_s0_a59_ac_full.tiff","Kidney1_Sector4Row4Column1_SlideMiddle","TMA_2022_PDAC1_rev_59"
"TMA_2022_PDAC1_rev_s0_a60_ac_full.tiff","Kidney1_Sector4Row4Column2_SlideMiddle","TMA_2022_PDAC1_rev_60"
"TMA_2022_PDAC1_rev_s0_a61_ac_full.tiff","PDAC1_Sector1Row2Column5_Punch1_Case5_ID_1_104192","TMA_2022_PDAC1_rev_61"
"TMA_2022_PDAC1_rev_s0_a62_ac_full.tiff","PDAC1_Sector2Row1Column5_Punch1_Case29_ID_1_54342","TMA_2022_PDAC1_rev_62"
"TMA_2022_PDAC1_rev_s0_a63_ac_full.tiff","PDAC1_Sector3Row2Column2_Punch1_Case65_ID_1_94889","TMA_2022_PDAC1_rev_63"
"TMA_2022_PDAC1_rev_s0_a64_ac_full.tiff","PDAC1_Sector4Row2Column5_Punch1_Case100_ID_G_6686","TMA_2022_PDAC1_rev_64"
"TMA_2022_PDAC1_rev_s0_a65_ac_full.tiff","PDAC1_Sector4Row1Column5_Punch1_Case92_ID_G_30057","TMA_2022_PDAC1_rev_65"
